doi,title,authors
10.1103/physrevb.76.214514,Calculated positions of point nodes in the gap structure of the borocarbide superconductorYNi2B2C,"Yuki Nagai, Yusuke Kato, Nobuhiko Hayashi, Kunihiko Yamauchi, Hisatomo Harima"
10.1103/physrevb.76.220501,Phonons in superconductingCaC6studied via inelastic x-ray scattering,"M H Upton, A C Walters, C A Howard, K C Rahnejat, M Ellerby, J P Hill, D F Mcmorrow, A Alatas, Bogdan M Leu, Wei Ku"
10.1103/physrevb.76.220502,Large energy gaps inCaC6from tunneling spectroscopy: Possible evidence of strong-coupling superconductivity,"Cihan Kurter, Lutfi Ozyuzer, Daniel Mazur, John F Zasadzinski, Daniel Rosenmann, Helmut Claus, Dave G Hinks, Kenneth E Gray"
10.1103/physrevb.76.220506,Local superfluid densities probed via current-induced superconducting phase gradients,"David S Hopkins, David Pekker, Tzu-Chieh Wei, Paul M Goldbart, Alexey Bezryadin"
10.1103/physrevb.76.220507,Asymmetric weak-pinning superconducting channels: Vortex ratchets,"K Yu, T W Heitmann, C Song, M P Defeo, B L T Plourde, M B S Hesselberth, P H Kes"
10.1103/physrevb.76.220509,Optical integral in the cuprates and the question of sum-rule violation,"M R Norman, A V Chubukov, E Van Heumen, A B Kuzmenko, D Van Der Marel"
10.1103/physrevb.76.220510,Eliashberg theory of superconductivity and inelastic rare-earth impurity scattering in the filled skutteruditeLa1−xPrxOs4Sb12,"Jun Chang, Ilya Eremin, Peter Thalmeier, Peter Fulde"
10.1103/physrevb.76.224503,Paramagnonlike excitations and spin diffusion in magnetic resonance studies of copper oxide superconductors,Igor A Larionov
10.1103/physrevb.76.224511,Superconductor-insulator transition in the presence of Coulomb disorder,B I Shklovskii
10.1103/physrevb.76.224517,Anticorrelation between temperature and fluctuations of the switching current in moderately damped Josephson junctions,"V M Krasnov, T Golod, T Bauch, P Delsing"
10.1103/physrevb.76.224526,Torque magnetometry study of metamagnetic transitions in single-crystalHoNi2B2CatT≈1.9K,"K D D Rathnayaka, B I Belevtsev, D G Naugle"
10.1103/physrevb.76.245424,Meissner effect in honeycomb arrays of multiwalled carbon nanotubes,"N Murata, J Haruyama, Y Ueda, M Matsudaira, H Karino, Y Yagi, E Einarsson, S Chiashi, S Maruyama, T Sugai, N Kishi, H Shinohara"
10.1103/physrevb.77.014513,Ginzburg-Landau theory of noncentrosymmetric superconductors,"Soumya P Mukherjee, Sudhansu S Mandal"
10.1103/physrevb.77.014523,Quantum spin excitations through the metal-to-insulator crossover inYBa2Cu3O6+y,"Shiliang Li, Zahra Yamani, Hye Jung Kang, Kouji Segawa, Yoichi Ando, Xin Yao, H A Mook, Pengcheng Dai"
10.1103/physrevb.77.014529,Scaling analysis of normal-state properties of high-temperature superconductors,"H G Luo, Y H Su, T Xiang"
10.1103/physrevb.77.024507,Electron spin dynamics of the superconductorCaC6probed by ESR,"F Murányi, G Urbanik, V Kataev, B Büchner"
10.1103/physrevb.77.024524,Breakpoint in the evolution of the gap through the cuprate phase diagram,"W Guyard, M Le Tacon, M Cazayous, A Sacuto, A Georges, D Colson, A Forget"
10.1103/physrevb.77.045110,Phonon softening and forbidden mode inNa0.5CoO2observed by Raman scattering,"Qingming Zhang, Ming An, Shikui Yuan, Yong Wu, Dong Wu, Jianlin Luo, Nanlin Wang, Wei Bao, Yening Wang"
10.1103/physrevb.77.054505,Mott transition and superconductivity in the strongly correlated organic superconductorκ−(BEDT−TTF)2Cu[N(CN)2]Br,"T Sasaki, N Yoneyama, N Kobayashi"
10.1103/physrevb.77.054520,Coupling to a phononic mode inBi2−xPbxSr2CaCu2O8+δ: Angle-resolved photoemission,"Beate Ziegler, Beate Müller, Alica Krapf, Helmut Dwelk, Christoph Janowitz, Recardo Manzke"
10.1103/physrevb.77.060503,Superconductor-insulator phase separation induced by rapid cooling ofκ−(BEDT−TTF)2Cu[N(CN)2]Br,"O J Taylor, A Carrington, J A Schlueter"
10.1103/physrevb.77.060505,"Superconductivity phase diagrams for the electron-doped cupratesR2−xCexCuO4(R=La, Pr, Nd, Sm, and Eu)","Y Krockenberger, J Kurian, A Winkler, A Tsukada, M Naito, L Alff"
10.1103/physrevb.77.064506,Correlation between the transition temperature and the superfluid density in BCS superconductorNbB2+x,"R Khasanov, A Shengelaya, A Maisuradze, D Di Castro, R Escamilla, H Keller"
10.1103/physrevb.77.064508,Pressure-induced unconventional superconductivity in the heavy-fermion antiferromagnetCeIn3: AnIn115-NQR study under pressure,"S Kawasaki, M Yashima, Y Kitaoka, K Takeda, K Shimizu, Y Oishi, M Takata, T C Kobayashi, H Harima, S Araki, H Shishido, R Settai, Y Ōnuki"
10.1103/physrevb.77.064511,In-plane current-voltage characteristics and oscillatory Josephson-vortex flow resistance in La-freeBi2+xSr2−xCuO6+δsingle crystals in high magnetic fields,"S I Vedeneev, D K Maude"
10.1103/physrevb.77.092504,First-principles investigation of the electron-phonon interaction inOsN2: Theoretical prediction of superconductivity mediated by N-N covalent bonds,"Alexander D Hernández, Javier A Montoya, Gianni Profeta, Sandro Scandolo"
10.1103/physrevb.77.094503,Possible vortex splitting in high-temperature cuprate superconductors,"Rong Li, Zhen-Su She"
10.1103/physrevb.77.094515,Doping dependence of phonon and quasiparticle heat transport of pure and Dy-dopedBi2Sr2CaCu2O8+δsingle crystals,"X F Sun, S Ono, X Zhao, Z Q Pang, Yasushi Abe, Yoichi Ando"
10.1103/physrevb.77.100505,Ambient-pressure bulk superconductivity deep in the magnetic state ofCeRhIn5,"Johnpierre Paglione, P-C Ho, M B Maple, M A Tanatar, Louis Taillefer, Y Lee, C Petrovic"
10.1103/physrevb.77.100507,Two-band parallel conductivity at terahertz frequencies in the superconducting state ofMgB2,"M Ortolani, P Dore, D Di Castro, A Perucchi, S Lupi, V Ferrando, M Putti, I Pallecchi, C Ferdeghini, X X Xi"
10.1103/physrevb.77.104506,Extracting the spectral function of the cuprates by a full two-dimensional analysis: Angle-resolved photoemission spectra ofBi2Sr2CuO6,"W Meevasana, F Baumberger, K Tanaka, F Schmitt, W R Dunkel, D H Lu, S-K Mo, H Eisaki, Z-X Shen"
10.1103/physrevb.77.104513,Spin dynamics near the critical doping in weakly superconducting underdopedYBa2Cu3O6.35(Tc=18K),"C Stock, W J L Buyers, Z Yamani, Z Tun, R J Birgeneau, R Liang, D Bonn, W N Hardy"
10.1103/physrevb.77.104515,Two-dimensional vortex behavior in highly underdopedYBa2Cu3O6+xobserved by scanning Hall probe microscopy,"J W Guikema, Hendrik Bluhm, D A Bonn, Ruixing Liang, W N Hardy, K A Moler"
10.1103/physrevb.77.104520,Gap structure in noncentrosymmetric superconductors,"K V Samokhin, V P Mineev"
10.1103/physrevb.77.104533,Onset of phase correlations inYBa2Cu3O7−xas determined from reversible-magnetization measurements,"S Salem-Sugui, A D Alvarenga"
10.1103/physrevb.77.134504,Vortex trapping and expulsion in thin-filmYBa2Cu3O7−δstrips,"K H Kuit, J R Kirtley, W Van Der Veur, C G Molenaar, F J G Roesthuis, A G P Troeman, J R Clem, H Hilgenkamp, H Rogalla, J Flokstra"
10.1103/physrevb.77.134505,Intrinsic atomic-scale modulations of the superconducting gap of2H−NbSe2,"I Guillamon, H Suderow, F Guinea, S Vieira"
10.1103/physrevb.77.134508,Isotope effect on superconductivity in Josephson coupled stripes in underdoped cuprates,"A Rosengren, P H Lundow, A V Balatsky"
10.1103/physrevb.77.134511,Dimensionality-driven changeover to first-order superconducting phase transitions in the Pauli paramagnetic limit,"T Maniv, V Zhuravlev"
10.1103/physrevb.77.134514,Structural and superconducting properties ofRbOs2O6single crystals,"Krzysztof Rogacki, Götz Schuck, Zbigniew Bukowski, Nikolai D Zhigadlo, Janusz Karpinski"
10.1103/physrevb.77.134517,Double superconducting transition in the filled skutteruditePrOs4Sb12and sample characterizations,"M-A Méasson, D Braithwaite, G Lapertot, J-P Brison, J Flouquet, P Bordet, H Sugawara, P C Canfield"
10.1103/physrevb.77.134518,Guiding superconducting vortices with magnetic domain walls,"V Vlasko-Vlasov, U Welp, G Karapetrov, V Novosad, D Rosenmann, M Iavarone, A Belkin, W-K Kwok"
10.1103/physrevb.77.134519,Electron transmission in normal metal/heavy-fermion superconductor junctions: A two-band model,"M A N Araújo, P D Sacramento"
10.1103/physrevb.77.134520,Direct observation of a Fermi surface and superconducting gap inLuNi2B2C,"P Starowicz, C Liu, R Khasanov, T Kondo, G Samolyuk, D Gardenghi, Y Lee, T Ohta, B Harmon, P Canfield, S Bud’ko, E Rotenberg, A Kaminski"
10.1103/physrevb.77.140504,Superconductivity-induced self-energy evolution of the nodal electron of optimally dopedBi2Sr2Ca0.92Y0.08Cu2O8+δ,"W S Lee, W Meevasana, S Johnston, D H Lu, I M Vishik, R G Moore, H Eisaki, N Kaneko, T P Devereaux, Z X Shen"
10.1103/physrevb.77.140506,Simultaneous suppression of ferromagnetism and superconductivity in UCoGe by Si substitution,"D E De Nijs, N T Huy, A De Visser"
10.1103/physrevb.77.144502,Pressure effects on the superconducting transition innH-CaAlSi,"L Boeri, J S Kim, M Giantomassi, F S Razavi, S Kuroiwa, J Akimitsu, R K Kremer"
10.1103/physrevb.77.155128,Hybridization effects inCeCoIn5observed by angle-resolved photoemission,"A Koitzsch, S V Borisenko, D Inosov, J Geck, V B Zabolotnyy, H Shiozawa, M Knupfer, J Fink, B Büchner, E D Bauer, J L Sarrao, R Follath"
10.1103/physrevb.77.165129,Composition and field-tuned magnetism and superconductivity inNd1−xCexCoIn5,"Rongwei Hu, Y Lee, J Hudis, V F Mitrovic, C Petrovic"
10.1103/physrevb.77.165408,Proximity dc squids in the long-junction limit,"L Angers, F Chiodi, G Montambaux, M Ferrier, S Guéron, H Bouchiat, J C Cuevas"
10.1103/physrevb.77.174302,Raman study of twin-free ortho-IIYBa2Cu3O6.5single crystals,"M N Iliev, V G Hadjiev, S Jandl, D Le Boeuf, V N Popov, D Bonn, R Liang, W N Hardy"
10.1103/physrevb.77.174506,Preparation and properties of amorphousMgB2∕MgOsuperstructures: Model disordered superconductor,"W Siemons, M A Steiner, G Koster, D H A Blank, M R Beasley, A Kapitulnik"
10.1103/physrevb.77.174513,Collective modes and electromagnetic response of a chiral superconductor,"Rahul Roy, Catherine Kallin"
10.1103/physrevb.77.174516,Spin-resolved spectra of Shiba multiplets from Mn impurities inMgB2,"Cătălin Paşcu Moca, Eugene Demler, Boldizsár Jankó, Gergely Zaránd"
10.1103/physrevb.77.180513,Magnetic field dependence of charge stripe order inLa2−xBaxCuO4(x≈18),"Jungho Kim, A Kagedan, G D Gu, C S Nelson, Young-June Kim"
10.1103/physrevb.77.180514,Determining gap nodal structures in Fe-based superconductors: Theory of the angle dependence of the low-temperature specific heat in an applied magnetic field,"S Graser, G R Boyd, Chao Cao, Hai-Ping Cheng, P J Hirschfeld, D J Scalapino"
10.1103/physrevb.77.184508,Effect of oxygen-doping onBi2Sr2Ca2Cu3O10+δvortex matter: Crossover from electromagnetic to Josephson interlayer coupling,"A Piriou, Y Fasano, E Giannini, Ø Fischer"
10.1103/physrevb.77.184509,Surface deformation caused by the Abrikosov vortex lattice,"Pavel Lipavský, Klaus Morawetz, Jan Koláček, Ernst Helmut Brandt"
10.1103/physrevb.77.184512,Nodeless superconductivity in the infinite-layer electron-doped cuprate superconductorSr0.9La0.1CuO2,"R Khasanov, A Shengelaya, A Maisuradze, D Di Castro, I M Savić, S Weyeneth, M S Park, D J Jang, S-I Lee, H Keller"
10.1103/physrevb.77.184514,Theory of the nodal nematic quantum phase transition in superconductors,"Eun-Ah Kim, Michael J Lawler, Paul Oreto, Subir Sachdev, Eduardo Fradkin, Steven A Kivelson"
10.1103/physrevb.77.184518,Electron energy-loss spectroscopy andab initioelectronic structure of the LaOFeP superconductor,"Renchao Che, Ruijuan Xiao, Chongyun Liang, Huaixin Yang, Chao Ma, Honglong Shi, Jianqi Li"
10.1103/physrevb.77.184520,Unified electronic phase diagram for hole-doped high-Tccuprates,"T Honma, P H Hor"
10.1103/physrevb.77.184521,s-wave superconductivity due to Suhl-Kondo mechanism inNaxCoO2⋅yH2O: Effect of Coulomb interaction and trigonal distortion,"Keiji Yada, Hiroshi Kontani"
10.1103/physrevb.77.212504,Excitation energy map of high-energy dispersion anomalies in cuprates,"D S Inosov, R Schuster, A A Kordyuk, J Fink, S V Borisenko, V B Zabolotnyy, D V Evtushinsky, M Knupfer, B Büchner, R Follath, H Berger"
10.1103/physrevb.77.214503,Superconducting properties and Hall effect of epitaxial NbN thin films,"S P Chockalingam, Madhavi Chand, John Jesudasan, Vikram Tripathi, Pratap Raychaudhuri"
10.1103/physrevb.77.214504,Magnetotransport properties governed by antiferromagnetic fluctuations in the heavy-fermion superconductorCeIrIn5,"Y Nakajima, H Shishido, H Nakai, T Shibauchi, M Hedo, Y Uwatoko, T Matsumoto, R Settai, Y Onuki, H Kontani, Y Matsuda"
10.1103/physrevb.77.214507,MgB2single crystals substituted with Li and with Li-C: Structural and superconducting properties,"J Karpinski, N D Zhigadlo, S Katrych, K Rogacki, B Batlogg, M Tortello, R Puzniak"
10.1103/physrevb.77.214513,Electronic structure and Fermi surface character of LaNiPO from first principles,"Wei-Bing Zhang, Xiao-Bing Xiao, Wei-Yang Yu, Na Wang, Bi-Yu Tang"
10.1103/physrevb.77.214514,"Microwave and magnetotransport properties ofRuSr2RCu2O8(R=Eu,Gd)doped with Sn","M Požek, I Kupčić, A Dulčić, A Hamzić, D Paar, M Basletić, E Tafra, G V M Williams"
10.1103/physrevb.77.214515,Electromagnetic properties and electronic structure of the iron-based layered superconductor LaFePO,"Yoichi Kamihara, Masahiro Hirano, Hiroshi Yanagi, Toshio Kamiya, Yuji Saitoh, Eiji Ikenaga, Keisuke Kobayashi, Hideo Hosono"
10.1103/physrevb.77.214517,Quasiparticle response of superconducting aluminum to electromagnetic radiation,"Katrin Steinberg, Marc Scheffler, Martin Dressel"
10.1103/physrevb.77.220501,Topological order and non-Abelian statistics in noncentrosymmetrics-wave superconductors,Satoshi Fujimoto
10.1103/physrevb.77.220505,"Raman spectroscopy ofRFeAsO(R=Sm, La)","V G Hadjiev, M N Iliev, K Sasmal, Y-Y Sun, C W Chu"
10.1103/physrevb.77.220506,Proximity of antiferromagnetism and superconductivity inLaFeAsO1−xFx: Effective Hamiltonian fromab initiostudies,"Chao Cao, P J Hirschfeld, Hai-Ping Cheng"
10.1103/physrevb.77.224410,Incommensurate spin ordering and fluctuations in underdopedLa2−xBaxCuO4,"S R Dunsiger, Y Zhao, Z Yamani, W J L Buyers, H A Dabkowska, B D Gaulin"
10.1103/physrevb.77.224431,"Itinerant ferromagnetism in the layered crystalsLaCoOX(X=P,As)","Hiroshi Yanagi, Ryuto Kawamura, Toshio Kamiya, Yoichi Kamihara, Masahiro Hirano, Tetsuya Nakamura, Hitoshi Osawa, Hideo Hosono"
10.1103/physrevb.77.224503,Fermi-liquid behavior and weakly anisotropic superconductivity in the electron-doped cuprateSr1−xLaxCuO2,"Kohki H Satoh, Soshi Takeshita, Akihiro Koda, Ryosuke Kadono, Kenji Ishida, Sunsen Pyon, Takao Sasagawa, Hidenori Takagi"
10.1103/physrevb.77.224504,Mechanism for phase separation in cuprates and related multiband systems,"A O Sboychakov, Sergey Savel’ev, A L Rakhmanov, K I Kugel, Franco Nori"
10.1103/physrevb.77.224507,"Phonon density of states, anharmonicity, electron-phonon coupling, and possible multigap superconductivity in the clathrate superconductorsBa8Si46andBa24Si100: Factors behind large difference inTc","Rolf Lortz, Romain Viennois, Alexander Petrovic, Yuxing Wang, Pierre Toulemonde, Christoph Meingast, Michael Marek Koza, Hannu Mutka, Alexei Bossak, Alfonso San Miguel"
10.1103/physrevb.77.224508,Properties of superconductivity on a density wave background with small ungapped Fermi surface parts,"P D Grigoriev, L D Landau"
10.1103/physrevb.77.224509,Theory of electron nematic order in LaFeAsO,"Chen Fang, Hong Yao, Wei-Feng Tsai, Jiangping Hu, Steven A Kivelson"
10.1103/physrevb.77.224511,Experimental evidence of two distinct charge carriers in underdoped cuprate superconductors,"Samuele Sanna, Francesco Coneri, Americo Rigoldi, Giorgio Concas, Roberto De Renzi"
10.1103/physrevb.77.245307,Hysteretic magnetotransport inp-typeAlxGa1−xAsheterostructures with In/Zn/Au Ohmic contacts,"B Grbić, R Leturcq, T Ihn, K Ensslin, G Blatter, D Reuter, A D Wieck"
10.1103/physrevb.78.012505,Effect of pressure on the superconducting and spin-density-wave states ofSmFeAsO1−xFx,"B Lorenz, K Sasmal, R P Chaudhury, X H Chen, R H Liu, T Wu, C W Chu"
10.1103/physrevb.78.012507,"Upper critical field, penetration depth, and depinning frequency of the high-temperature superconductorLaFeAsO0.9F0.1studied by microwave surface impedance","A Narduzzo, M S Grbić, M Požek, A Dulčić, D Paar, A Kondrat, C Hess, I Hellmann, R Klingeler, J Werner, A Köhler, G Behr, B Büchner"
10.1103/physrevb.78.014502,Muon-spin rotation measurements of the penetration depth of theMo3Sb7superconductor,"R Khasanov, P W Klamut, A Shengelaya, Z Bukowski, I M Savić, C Baines, H Keller"
10.1103/physrevb.78.014504,Similar glassy features in theL139aNMR response of pure and disorderedLa1.88Sr0.12CuO4,"V F Mitrović, M-H Julien, C De Vaulx, M Horvatić, C Berthier, T Suzuki, K Yamada"
10.1103/physrevb.78.014507,Anisotropic thermodynamic and transport properties of single-crystallineBa1−xKxFe2As2(x=0and 0.45),"N Ni, S L Bud’ko, A Kreyssig, S Nandi, G E Rustan, A I Goldman, S Gupta, J D Corbett, A Kracher, P C Canfield"
10.1103/physrevb.78.014515,Minimal model for disorder-induced missing moment of inertia in solidH4e,"Jiansheng Wu, Philip Phillips"
10.1103/physrevb.78.014518,Impurity resonance states in noncentrosymmetric superconductorCePt3Si: A probe for Cooper-pairing symmetry,"Bin Liu, Ilya Eremin"
10.1103/physrevb.78.020503,Spin-density-wave anomaly at 140 K in the ternary iron arsenideBaFe2As2,"Marianne Rotter, Marcus Tegel, Dirk Johrendt, Inga Schellenberg, Wilfried Hermes, Rainer Pöttgen"
10.1103/physrevb.78.020511,First-order-type effects inYBa2Cu3O6+xat the onset of superconductivity,"L Tassini, W Prestel, A Erb, M Lambacher, R Hackl"
10.1103/physrevb.78.020512,Ferromagnetic spin fluctuation inLaFeAsO1−xFx,"Yoshimitsu Kohama, Yoichi Kamihara, Masahiro Hirano, Hitoshi Kawaji, Tooru Atake, Hideo Hosono"
10.1103/physrevb.78.024517,Specific heat and electronic states of superconducting boron-doped silicon carbide,"M Kriener, Y Maeno, T Oguchi, Z-A Ren, J Kato, T Muranaka, J Akimitsu"
10.1103/physrevb.78.024522,Linear and nonlinear low-frequency electrodynamics of surface superconducting states in an yttrium hexaboride single crystal,"M I Tsindlekht, V M Genkin, G I Leviev, I Felner, O Yuli, I Asulin, O Millo, M A Belogolovskii, N Yu. Shitsevalova"
10.1103/physrevb.78.033111,Iron-based layered compound LaFeAsO is an antiferromagnetic semimetal,"Fengjie Ma, Zhong-Yi Lu"
10.1103/physrevb.78.035132,Combined density functional and dynamical cluster quantum Monte Carlo calculations of the three-band Hubbard model for hole-doped cuprate superconductors,"P R C Kent, T Saha-Dasgupta, O Jepsen, O K Andersen, A Macridin, T A Maier, M Jarrell, T C Schulthess"
10.1103/physrevb.78.041404,Far-infrared signature of the superconducting gap in intercalated graphiteCaC6,"U Nagel, D Hüvonen, E Joon, J S Kim, R K Kremer, T Rõõm"
10.1103/physrevb.78.045417,Evidence of local superconductivity in granular Bi nanowires fabricated by electrodeposition,"Mingliang Tian, Nitesh Kumar, Moses H W Chan, Thomas E Mallouk"
10.1103/physrevb.78.052501,Antiferromagnetic transition inEuFe2As2: A possible parent compound for superconductors,"Zhi Ren, Zengwei Zhu, Shuai Jiang, Xiangfan Xu, Qian Tao, Cao Wang, Chunmu Feng, Guanghan Cao, Zhu’an Xu"
10.1103/physrevb.78.052502,Electrical resistivity and specific heat of single-crystallineEuFe2As2: A magnetic homologue ofSrFe2As2,"H S Jeevan, Z Hossain, Deepa Kasinathan, H Rosner, C Geibel, P Gegenwart"
10.1103/physrevb.78.052508,Neutron-scattering study of the oxypnictide superconductorLaFeAsO0.87F0.13,"Y Qiu, M Kofu, Wei Bao, S-H Lee, Q Huang, T Yildirim, J R D Copley, J W Lynn, T Wu, G Wu, X H Chen"
10.1103/physrevb.78.054510,Bogoliubov angle and visualization of particle-hole mixture in superconductors,"K Fujita, Ilya Grigorenko, J Lee, W Wang, Jian Xin Zhu, J C Davis, H Eisaki, S Uchida, Alexander V Balatsky"
10.1103/physrevb.78.054514,Upper critical fields well above 100 T for the superconductorSmFeAsO0.85F0.15withTc=46 K,"C Senatore, R Flükiger, M Cantoni, G Wu, R H Liu, X H Chen"
10.1103/physrevb.78.054518,Demonstrating the model nature of the high-temperature superconductorHgBa2CuO4+δ,"Neven Barišić, Yuan Li, Xudong Zhao, Yong-Chan Cho, Guillaume Chabot-Couture, Guichuan Yu, Martin Greven"
10.1103/physrevb.78.054523,Origins of large critical temperature variations in single-layer cuprates,"A D Palczewski, T Kondo, R Khasanov, N N Kolesnikov, A V Timonina, E Rotenberg, T Ohta, A Bendounan, Y Sassa, A V Fedorov, S Pailhés, A F Santander-Syro, J Chang, M Shi, J Mesot, H M Fretwell, A Kaminski"
10.1103/physrevb.78.054527,Local dynamical lattice instabilities: Prerequisites for resonant pairing superconductivity,"Julius Ranninger, Alfonso Romano"
10.1103/physrevb.78.054528,"Specific heat ofNa0.3CoO2⋅1.3H2O: Two energy gaps, nonmagnetic pair breaking, strong fluctuations in the superconducting state, and effects of sample age","N Oeschler, R A Fisher, N E Phillips, J E Gordon, M-L Foo, R J Cava"
10.1103/physrevb.78.054529,Doping evolution of antiferromagnetic order and structural distortion inLaFeAsO1−xFx,"Q Huang, Jun Zhao, J W Lynn, G F Chen, J L Luo, N L Wang, Pengcheng Dai"
10.1103/physrevb.78.060501,Impurity-induced polar Kerr effect in a chiralp-wave superconductor,Jun Goryo
10.1103/physrevb.78.060503,"Raman-scattering study ofKxSr1−xFe2As2(x=0.0,0.4)","A P Litvinchuk, V G Hadjiev, M N Iliev, Bing Lv, A M Guloy, C W Chu"
10.1103/physrevb.78.060504,Strong-coupling superconductivity in the nickel-based oxypnictideLaNiAsO1−xFx,"Zheng Li, Gengfu Chen, Jing Dong, Gang Li, Wanzheng Hu, Dan Wu, Shaokui Su, Ping Zheng, Tao Xiang, Nanlin Wang, Jianlin Luo"
10.1103/physrevb.78.060505,LiFeAs: An intrinsic FeAs-based superconductor withTc=18 K,"Joshua H Tapp, Zhongjia Tang, Bing Lv, Kalyan Sasmal, Bernd Lorenz, Paul C W Chu, Arnold M Guloy"
10.1103/physrevb.78.060506,Electron-phonon superconductivity in LaNiPO,"Alaska Subedi, David J Singh, Mao-Hua Du"
10.1103/physrevb.78.060507,Superconductivity ofMo3Sb7from first principles,"B Wiendlocha, J Tobola, M Sternik, S Kaprzyk, K Parlinski, A M Oleś"
10.1103/physrevb.78.064504,Flux pinning and phase separation in oxygen-richLa2−xSrxCuO4+y,"Hashini E Mohottala, B O Wells, J I Budnick, W A Hines, Ch H Niedermayer, F C Chou"
10.1103/physrevb.78.064519,"Comparison of the pressure dependences ofTcin the trivalentd-electron superconductors Sc, Y, La, and Lu up to megabar pressures","M Debessai, J J Hamlin, J S Schilling"
10.1103/physrevb.78.092503,Superconductivity induced by oxygen deficiency inLa0.85Sr0.15FeAsO1−δ,"G Wu, H Chen, Y L Xie, Y J Yan, T Wu, R H Liu, X F Wang, D F Fang, J J Ying, X H Chen"
10.1103/physrevb.78.092504,Magnetization relaxation and collective vortex pinning in the Fe-based superconductorSmFeAsO0.9F0.1,"Huan Yang, Cong Ren, Lei Shan, Hai-Hu Wen"
10.1103/physrevb.78.092505,Scanning tunneling spectroscopy ofSmFeAsO0.85: Possible evidence ford-wave order-parameter symmetry,"Oded Millo, Itay Asulin, Ofer Yuli, Israel Felner, Zhi-An Ren, Xiao-Li Shen, Guang-Can Che, Zhong-Xian Zhao"
10.1103/physrevb.78.092506,Muon spin rotation studies ofSmFeAsO0.85andNdFeAsO0.85superconductors,"Rustem Khasanov, Hubertus Luetkens, Alex Amato, Hans-Henning Klauss, Zhi-An Ren, Jie Yang, Wei Lu, Zhong-Xian Zhao"
10.1103/physrevb.78.092507,Diagonal and collinear incommensurate spin structures in underdopedLa2−xBaxCuO4,"S R Dunsiger, Y Zhao, B D Gaulin, Y Qiu, P Bourges, Y Sidis, J R D Copley, A B Kallin, E M Mazurek, H A Dabkowska"
10.1103/physrevb.78.094503,Reliable determination of vortex parameters from measurements of the microwave complex resistivity,"N Pompeo, E Silva"
10.1103/physrevb.78.094504,Coexistence of superconductivity and antiferromagnetism in a self-doped bilayert−t′−Jmodel,"J Y Gan, M Mori, T K Lee, S Maekawa"
10.1103/physrevb.78.094506,Anomalous far-infrared monochromatic transmission through a film of type-II superconductor in magnetic field,"Oleg L Berman, Vladimir S Boyko, Roman Ya. Kezerashvili, Yurii E Lozovik"
10.1103/physrevb.78.094511,Electronic structure and doping inBaFe2As2and LiFeAs: Density functional calculations,D J Singh
10.1103/physrevb.78.094513,Signatures of superconducting gap inhomogeneities in optical properties,"J P F Leblanc, E J Nicol, J P Carbotte"
10.1103/physrevb.78.094518,Thermal properties ofSmFeAsO1−xFxas a probe of the interplay between electrons and phonons,"M Tropeano, A Martinelli, A Palenzona, E Bellingeri, E Galleani D’agliano, T D Nguyen, M Affronte, M Putti"
10.1103/physrevb.78.094520,Thermodynamic stabilities of ternary metal borides: Anab initioguide for synthesizing layered superconductors,"Aleksey N Kolmogorov, Matteo Calandra, Stefano Curtarolo"
10.1103/physrevb.78.100503,Pressure dependence of the oxygen isotope effect in the superconductorYBa2Cu4O8,"N Suresh, J G Storey, G V M Williams, J L Tallon"
10.1103/physrevb.78.100504,Magnetic and structural transitions in layered iron arsenide systems:AFe2As2versusRFeAsO,"C Krellner, N Caroca-Canales, A Jesche, H Rosner, A Ormeci, C Geibel"
10.1103/physrevb.78.104512,Single-crystal growth and physical properties of the layered arsenideBaRh2As2,"Yogesh Singh, Y Lee, S Nandi, A Kreyssig, A Ellern, S Das, R Nath, B N Harmon, A I Goldman, D C Johnston"
10.1103/physrevb.78.104514,Inelastic neutron scattering and lattice-dynamical calculations ofBaFe2As2,"R Mittal, Y Su, S Rols, T Chatterji, S L Chaplot, H Schober, M Rotter, D Johrendt, Th H Brueckel"
10.1103/physrevb.78.104515,Fermi-liquid effects in the gapless state of marginally thin superconducting films,"G Catelani, X S Wu, P W Adams"
10.1103/physrevb.78.104519,Electronic structure and Fermi surface of the superconductors LaNiBiO and LaCuBiO from first principles,"I R Shein, V L Kozhevnikov, A L Ivanovskii"
10.1103/physrevb.78.104520,Tuning the charge density wave and superconductivity inCuxTaS2,"K E Wagner, E Morosan, Y S Hor, J Tao, Y Zhu, T Sanders, T M Mcqueen, H W Zandbergen, A J Williams, D V West, R J Cava"
10.1103/physrevb.78.104525,Tuning competing orders inLa2−xSrxCuO4cuprate superconductors by the application of an external magnetic field,"J Chang, Ch H Niedermayer, R Gilardi, N B Christensen, H M Rønnow, D F Mcmorrow, M Ay, J Stahn, O Sobolev, A Hiess, S Pailhes, C Baines, N Momono, M Oda, M Ido, J Mesot"
10.1103/physrevb.78.104528,Synthesis and characterization of the hole-doped nickel-based superconductorLa1−xSrxNiAsO,"Lei Fang, Huan Yang, Peng Cheng, Xiyu Zhu, Gang Mu, Hai-Hu Wen"
10.1103/physrevb.78.104529,Low-field transport measurements in superconducting Co/Nb/Co trilayers,"G Carapella, F Russo, G Costabile"
10.1103/physrevb.78.132503,Local-moment fluctuations in the optimally doped high-TcsuperconductorYBa2Cu3O6.95,"D Reznik, J-P Ismer, I Eremin, L Pintschovius, T Wolf, M Arai, Y Endoh, T Masui, S Tajima"
